phrase_number,category,tags
32,birds,ʻAʻo
32,birds,ʻUwaʻu
34,birds,Moa
34,birds,Chicken
34,birds,Cock
56,birds,Kolea
56,birds,Plover
86,birds,Kolea
86,birds,Plover
99,birds,ʻAkekeke
99,birds,Ruddy turnstone
116,birds,ʻAmakihi
126,birds,ʻAlae
126,birds,Mudhen
207,birds,ʻAlae
207,birds,Pueo
207,birds,ʻUlili
207,birds,Mudhen
207,birds,Owl
207,birds,Sandpiper
207,birds,Wandering tattler
238,birds,ʻAukuʻu
238,birds,Heron
239,birds,ʻAukuʻu
239,birds,Heron
240,birds,ʻAukuʻu
240,birds,Heron
284,birds,Moho
284,birds,Wingless rail
312,birds,ʻUwaʻu
338,birds,ʻElepaio
381,birds,Kolea
381,birds,Plover
404,birds,ʻUwaʻu
472,birds,ʻAlae
472,birds,Mudhen
477,birds,Kolea
477,birds,Plover
494,birds,Moa
494,birds,Chicken
494,birds,Cock
527,birds,ʻAlalā
527,birds,Crow
535,birds,Moa
535,birds,Chicken
535,birds,Cock
545,birds,ʻAʻo
546,birds,ʻAʻo
564,birds,Kolea
564,birds,Plover
584,birds,Nēnē
584,birds,Goose
638,birds,ʻIo
638,birds,Hawk
639,birds,ʻIo
639,birds,Hawk
640,birds,ʻIo
640,birds,Hawk
641,birds,ʻIo
641,birds,Hawk
645,birds,ʻIwa
691,birds,ʻAlae
691,birds,Mudhen
696,birds,Koaʻe
696,birds,Tropic bird
709,birds,Kukuluaeʻo
819,birds,Moa
819,birds,Chicken
819,birds,Cock
844,birds,Noi
849,birds,Moa
849,birds,Chicken
849,birds,Cock
872,birds,ʻŌʻu
879,birds,Koaʻe
879,birds,Tropic bird
890,birds,Mynah
890,birds,Pihaʻekelo
957,birds,ʻUlili
957,birds,Sandpiper
957,birds,Wandering tattler
1054,birds,ʻUlili
1054,birds,Sandpiper
1054,birds,Wandering tattler
1073,birds,ʻAʻo
1086,birds,ʻŌʻō
1086,birds,ʻAmakihi
1086,birds,ʻElepaio
1086,birds,ʻIʻiwi
1086,birds,ʻIo
1086,birds,Pueo
1086,birds,Hawk
1086,birds,Owl
1167,birds,Kolea
1167,birds,Plover
1188,birds,ʻAlae
1188,birds,Mudhen
1260,birds,ʻUlili
1260,birds,Sandpiper
1260,birds,Wandering tattler
1267,birds,Noi
1288,birds,ʻIo
1288,birds,Hawk
1289,birds,Moa
1289,birds,Chicken
1289,birds,Cock
1344,birds,Noi
1412,birds,ʻIo
1412,birds,Hawk
1477,birds,Rooster
1478,birds,Kioea
1479,birds,Kaʻupu
1480,birds,ʻAlae
1480,birds,Mudhen
1484,birds,Moa
1484,birds,Chicken
1484,birds,Cock
1495,birds,Moa
1495,birds,Chicken
1495,birds,Cock
1527,birds,Koaʻe
1527,birds,Tropic bird
1637,birds,Kaʻupu
1643,birds,ʻIwa
1749,birds,Koaʻe
1749,birds,Tropic bird
1750,birds,Koaʻe
1750,birds,Tropic bird
1782,birds,Moa
1782,birds,Chicken
1782,birds,Cock
1795,birds,ʻIwa
1796,birds,ʻIwa
1802,birds,ʻIo
1802,birds,Hawk
1805,birds,Kioea
1806,birds,Kioea
1809,birds,Koaʻe
1809,birds,Tropic bird
1812,birds,ʻAukuʻu
1812,birds,Heron
1826,birds,Kolea
1826,birds,Plover
1827,birds,Kolea
1827,birds,Plover
1828,birds,Kolea
1828,birds,Plover
1829,birds,Kolea
1829,birds,Plover
1830,birds,Kolea
1830,birds,Plover
1935,birds,Kioea
1979,birds,ʻIwa
1995,birds,Rice bird
2130,birds,Pueo
2130,birds,Owl
2159,birds,ʻAlae
2159,birds,Mudhen
2161,birds,Moa
2161,birds,Chicken
2161,birds,Cock
2162,birds,Moa
2162,birds,Chicken
2162,birds,Cock
2163,birds,Moa
2163,birds,Chicken
2163,birds,Cock
2309,birds,Nēnē ʻaukai
2309,birds,Seagull
2325,birds,Koaʻe
2325,birds,Tropic bird
2351,birds,Nunu
2351,birds,Pigeon
2366,birds,ʻUwaʻu
2370,birds,Kolea
2370,birds,Plover
2399,birds,Kolea
2399,birds,Plover
2405,birds,Kolea
2405,birds,Plover
2418,birds,ʻIo
2418,birds,Hawk
2498,birds,Koaʻe
2498,birds,Tropic bird
2503,birds,Moa
2503,birds,Chicken
2503,birds,Cock
2514,birds,Kolea
2514,birds,Plover
2641,birds,Moa
2641,birds,Chicken
2641,birds,Cock
2667,birds,Noi
2684,birds,Pelehu
2684,birds,Turkey
2715,birds,Pueo
2715,birds,Owl
2776,birds,ʻElepaio
2777,birds,ʻElepaio
2787,birds,Noi
2825,birds,Koaʻe
2825,birds,Tropic bird
2830,birds,ʻAlae
2830,birds,Mudhen
2864,birds,ʻUlili
2864,birds,Sandpiper
2864,birds,Wandering tattler
2878,birds,Nēnē
2878,birds,Goose
2900,birds,Pelehu
2900,birds,Turkey
2931,birds,Moa
2931,birds,Chicken
2931,birds,Cock
2935,birds,Pueo
2935,birds,Owl
,birds,Stilt
