phrase_number,category,tags
4,fish + aquatic life,Leho
4,fish + aquatic life,Cowry
13,fish + aquatic life,Octopus
13,fish + aquatic life,ʻAlaʻala
13,fish + aquatic life,Heʻe
38,fish + aquatic life,Nehu
39,fish + aquatic life,Ulua
49,fish + aquatic life,Octopus
49,fish + aquatic life,ʻAlaʻala
49,fish + aquatic life,Heʻe
53,fish + aquatic life,Crab
53,fish + aquatic life,Papaʻi
64,fish + aquatic life,Shark
64,fish + aquatic life,Mana
64,fish + aquatic life,Niuhi
92,fish + aquatic life,Uhu
106,fish + aquatic life,ʻAnae
107,fish + aquatic life,ʻAlamihi
107,fish + aquatic life,Crab
108,fish + aquatic life,ʻAlamihi
108,fish + aquatic life,Crab
114,fish + aquatic life,Wana
114,fish + aquatic life,Sea urchin
114,fish + aquatic life,Hāʻukeʻuke
114,fish + aquatic life,Hāwaʻe
131,fish + aquatic life,Uhu
145,fish + aquatic life,Ulua
176,fish + aquatic life,ʻŌpae
176,fish + aquatic life,Shrimp
178,fish + aquatic life,ʻŌpae
178,fish + aquatic life,Shrimp
266,fish + aquatic life,Shark
266,fish + aquatic life,Mana
266,fish + aquatic life,Niuhi
274,fish + aquatic life,Pipi
274,fish + aquatic life,Oyster
292,fish + aquatic life,ʻOhiki
292,fish + aquatic life,Crab
296,fish + aquatic life,Moi
297,fish + aquatic life,ʻAʻama
297,fish + aquatic life,Crab
329,fish + aquatic life,Hinana
331,fish + aquatic life,ʻElepi
331,fish + aquatic life,Crab
435,fish + aquatic life,Aku
449,fish + aquatic life,ʻIao
486,fish + aquatic life,Kaweleʻa
493,fish + aquatic life,Pipi
493,fish + aquatic life,Oyster
495,fish + aquatic life,Palani
498,fish + aquatic life,Hīwaʻe
506,fish + aquatic life,ʻA
513,fish + aquatic life,Ahole
521,fish + aquatic life,ʻOpihi
523,fish + aquatic life,ʻAkupa
525,fish + aquatic life,ʻAlaʻihi kalaloa
529,fish + aquatic life,ʻAlamihi
559,fish + aquatic life,Crab
572,fish + aquatic life,Octopus
572,fish + aquatic life,ʻAlaʻala
572,fish + aquatic life,Heʻe
573,fish + aquatic life,Octopus
573,fish + aquatic life,ʻAlaʻala
573,fish + aquatic life,Heʻe
578,fish + aquatic life,Hilu
589,fish + aquatic life,Honu
589,fish + aquatic life,Turtle
590,fish + aquatic life,Honu maeaea
590,fish + aquatic life,Turtle
594,fish + aquatic life,Hou
595,fish + aquatic life,Hou
603,fish + aquatic life,Uku
607,fish + aquatic life,Loli kaʻe
608,fish + aquatic life,Wana
608,fish + aquatic life,Sea urchin
608,fish + aquatic life,Hāʻukeʻuke
608,fish + aquatic life,Hāwaʻe
609,fish + aquatic life,Poʻopaʻa
610,fish + aquatic life,ʻOpihi
615,fish + aquatic life,ʻUwiʻuwi
654,fish + aquatic life,ʻAlamihi
654,fish + aquatic life,Crab
660,fish + aquatic life,Octopus
660,fish + aquatic life,ʻAlaʻala
660,fish + aquatic life,Heʻe
661,fish + aquatic life,Nehu
710,fish + aquatic life,Kilmu
721,fish + aquatic life,Lauhau
726,fish + aquatic life,Poʻopaʻa
737,fish + aquatic life,Leho
