phrase_number,category,tags
2,general,"Hula, shyness"
2,general,"Hula, learning of"
2,general,Hula
4,general,"Hill, companion on the, love of"
4,general,"Hill, companion on the"
4,general,Love (see also affection)
5,general,Gray
5,general,Maturity
7,general,"Labor/work, effect of weather on"
7,general,"Labor/work, efficiency of"
7,general,Labor/work
7,general,"Life, perpetual"
7,general,Life
9,general,House
13,general,Inconsequential
13,general,Insignificance
15,general,Insignificance
15,general,Kahuna
18,general,Hands
18,general,Hips
18,general,Inconsequential
18,general,Mirage
21,general,"Hills, climbing, infullview"
21,general,"Hills, climbing"
21,general,"Life, perpetual"
21,general,Life
21,general,"Love, separation due to leprosy"
21,general,Love (see also affection)
21,general,Lovemaking
21,general,"Lover/sweetheart, supernatural"
21,general,Lover/sweetheart
28,general,Laziness
29,general,Ignorance
29,general,"Learning (see also knowledge, teaching)"
30,general,Impossibility
30,general,"Life, of"
30,general,Life
33,general,"Head, of achild"
33,general,Head
34,general,"Man, finding a mate"
34,general,Man
34,general,"Mate (see also husband, wife)"
34,general,Maturity
35,general,"Loss, of possessions"
35,general,Loss
37,general,"Luck, ill or bad, bearer of"
37,general,"Luck, ill or bad"
40,general,"Maturity, lack of"
40,general,Maturity
42,general,Life
44,general,Hands
44,general,Inattentionlinattentive
45,general,Independence
46,general,"Loss, total"
46,general,Loss
48,general,Loss
50,general,Impermanence
50,general,Insecurity
50,general,Instability
51,general,Kauwa
51,general,"Labor/work, efficiency of"
51,general,Labor/work
52,general,Lei
54,general,"Hill, companion on the, large"
54,general,"Hill, companion on the"
57,general,"Labor/work, importance of"
57,general,"Labor/work, necessities"
57,general,Labor/work
57,general,Life
58,general,"Life, in care of the gods"
58,general,Life
59,general,Horse
59,general,"Life, where sustenance is"
59,general,Life
60,general,"Life, in mouth"
60,general,Life
61,general,"Light, extinguished"
61,general,Light
67,general,Independence
68,general,Inquisitiveness (see also curiosity)
70,general,Gratitude (see also appreciation)
70,general,Hands
70,general,"Kindness, repayment of"
70,general,Kindness
71,general,"Hands, palms of"
71,general,"Hands, use of"
71,general,Hands
71,general,Labor/work
71,general,Lovemaking
71,general,"Lover/sweetheart, supernatural"
71,general,Lover/sweetheart
73,general,"Health (see also disease, illness), inquiry re"
73,general,"Health (see also disease, illness)"
74,general,"Hands, quick"
74,general,Hands
74,general,"Loss, of possessions"
74,general,Loss
75,general,Lips
76,general,"Kapu, lack of"
76,general,"Kapu (see also law, rules)"
80,general,"Land, red"
80,general,Land
82,general,Indulgence
83,general,Labor/work
89,general,Manners (see also rude)
90,general,"House, broken"
90,general,House
91,general,Harm
91,general,"Love, separation due to leprosy"
91,general,Love (see also affection)
92,general,"Lover/sweetheart, desirefor"
92,general,Lover/sweetheart
92,general,Man
93,general,"Luck, ill or bad"
94,general,Loss
94,general,"Luck, ill or bad"
97,general,Influence
100,general,"House, thatching of"
100,general,House
101,general,House
102,general,"Lips, sharp"
102,general,Lips
103,general,Hero
103,general,Mean
105,general,"Knowledge, place"
105,general,Knowledge (see also learning. wisdom)
109,general,"Love, overwhelming"
109,general,Love (see also affection)
110,general,Haste
111,general,"Loss, of possessions"
111,general,Loss
112,general,Loss
113,general,Life
113,general,Love (see also affection)
114,general,"Labor/work, another"
114,general,Labor/work
115,general,"Kahuna, defeat of"
117,general,"Life, precarious nature of"
117,general,Life
118,general,"Hands, gestures of"
118,general,"Hips, movement of"
119,general,Heaven
120,general,"Labor/work, wasted"
120,general,Labor/work
121,general,"Labor/work, avoidance of"
121,general,Labor/work
121,general,Laziness
122,general,"Hospitality, lack of"
122,general,Hospitality
122,general,"House, and hospitality"
122,general,"House, cold"
122,general,"House, damp"
122,general,House
125,general,Kahuna
125,general,Makahiki
126,general,"Meeting (a, of a council)"
127,general,Haughtiness
127,general,"Love, tokens/of fering"
127,general,Love (see also affection)
129,general,Labor/work
138,general,"Hospitality, abuse of"
138,general,Hospitality
138,general,"House, and hospitality"
138,general,House
139,general,Labor/work
140,general,"Head, resting"
140,general,Head
140,general,"Labor/work, speed of"
140,general,Labor/work
142,general,Labor/work
144,general,"Hands, rubbing of"
144,general,"Hospitality, universality of"
144,general,Hospitality
144,general,Invitations
145,general,Hero
146,general,"Labor/work, suspended"
146,general,Labor/work
147,general,Ignorance
147,general,Imu
149,general,Haughtiness
151,general,"Kinship, claimingfalsely"
151,general,Kinship (see also family)
152,general,"Mate (see also husband, wife), new"
152,general,"Mate (see also husband, wife)"
153,general,Insult
154,general,Maturity
155,general,Maturity
156,general,Heedlessness
157,general,"Labor/work, easy"
157,general,Labor/work
159,general,Love (see also affection)
160,general,"Hands, on hips"
160,general,Hands
160,general,Hips
160,general,Idleness
161,general,Insignificance
161,general,"Labor/work, effect of weather on"
161,general,Labor/work
162,general,Horse
162,general,Hunger
163,general,"Husband, all have some good qualities"
163,general,Husband
168,general,Hunger
168,general,Leaves
169,general,"Maturity, lack of"
169,general,Maturity
170,general,"Hands, of cheif"
