phrase_number,category,tags
14,names,Kamehameha
14,names,Nae'ole
19,names,Kahekili
19,names,Kalani'ōpu'u
19,names,Pi'ipi'i
30,names,Kaona
30,names,Kupanea
35,names,Ka'aikiola
51,names,Keawe
65,names,Milu
66,names,Nīholopua
70,names,Pāhia
79,names,Kāne
79,names,Pele
88,names,Kahekili
88,names,Kaho'oluhina
88,names,Kawehena
88,names,Kūheana
88,names,Kukeawe
90,names,'Aikanaka
90,names,Kawelo
97,names,Kakina
97,names,Thurston
102,names,Pele
105,names,Ka'ahupāhau
110,names,Kaweloleimakua
111,names,Keawe
121,names,Kalena
123,names,Hi'iaka
123,names,Lohi'au
123,names,Wahine'ōma'o
125,names,Lono
127,names,Halaaniani
127,names,Maelo
127,names,Pele
128,names,Lohi'au
128,names,Pele
139,names,Kauhikoa
140,names,Kauhikoa
148,names,Maelo
148,names,Pele
162,names,Hanale
171,names,'Alapa
175,names,Hi'iaka
175,names,Kapō
179,names,Pele
186,names,Makali'i
197,names,Lohi'au
197,names,Pele
223,names,Maheleana
233,names,Kamehameha
233,names,Kiwala'ō
233,names,Pālila
233,names,Pihea
233,names,Pōmaika'i
233,names,Pōnia
233,names,Wa'ahila
243,names,Ahuna
248,names,Ka'ehu
249,names,Ka'eokulani
253,names,Ho'oleiali'i
253,names,Kua'ana-a-I
253,names,Palena
255,names,Keohokālole
255,names,Lili'uokalani
257,names,Alapa'i
257,names,Kamehameha
260,names,Kumukaha
260,names,Makaha
265,names,Ka'ilīpehu
266,names,Nanaue
273,names,Heneli (Henry)
273,names,Keoni Pulu
278,names,Kamehameha
279,names,'Ō'ao
279,names,Pā'eo
280,names,Kamehameha
282,names,Kapihe
284,names,Keli'iwahamana
289,names,Nīholopua
302,names,Alapa'i
302,names,Kamehameha
302,names,Keaweama'uhili
306,names,Makuakaumana
306,names,Pa'ao
307,names,Huanu
308,names,Haloa
309,names,Kākuhihewa
314,names,Ahia
314,names,Kame'eiamoku
314,names,Kamehameha
318,names,Kaulula'au
321,names,"Malo, David"
326,names,Ka'ohele
334,names,Kaleikini
334,names,Lekia
334,names,Pōhaku-o-Hanalei
341,names,Pa'ahao
342,names,Kūlanihako'i
344,names,Hi'iaka
344,names,Lohi'au
344,names,Pele
355,names,Kamehameha
357,names,Kahekili
357,names,Kamehameha
363,names,Kahahana
363,names,Ka'opūlupulu
366,names,Makakuikalani
366,names,Pupūkea
368,names,Ka'ahumanu
368,names,Kamehameha
369,names,'Ōpelemui
369,names,'Ōpūkunui
369,names,Palani
369,names,Pālonui
370,names,Ka'ahumanu
370,names,Kūhi'aimoku
370,names,Kūkā'ilimoku
370,names,Liholiho
370,names,Kamehameha II
371,names,Holowae
371,names,Kalani'ōpu'u
374,names,Hi'iaka
374,names,Lohi'au
381,names,Ka'iana
381,names,Kamehameha
381,names,Keōua-kuahu'ula
386,names,La'akona
389,names,Kamalālāwalu
389,names,Lonoikamakahiki
389,names,Pupūkea
390,names,Hi'iaka
390,names,Pele'ula
397,names,Hi'iaka
399,names,Makanikeoe
399,names,'Ōla'a
404,names,Kāne'alohi
415,names,Kāne
421,names,Kāne
422,names,Kāne
424,names,Palahalaha
424,names,Papalauahi
424,names,Pūhā
443,names,Kūlanihako'i
451,names,'Ai'ai
451,names,Hinahele
451,names,Kū'ula
469,names,Kūlanihako'i
484,names,Hi'iaka
484,names,Kahuanui
484,names,Lohi'au
502,names,Keawe-i-kekahi-ali'i-o-ka-moku
503,names,Kamehameha
505,names,Kahekili
505,names,Po'okea
521,names,Pele
537,names,Hi'iaka
537,names,Lohi'au
538,names,Kalākaua
548,names,Kamehameha
550,names,Hi'iaka
550,names,Wahine'ōma'o
552,names,Kamehameha
553,names,Kamehameha III
559,names,Kamehameha
559,names,Keōua-kuahu'ula
561,names,'Ī
581,names,Kauahoa
586,names,Makālei
598,names,Kāne
625,names,Ka'ehuiki
625,names,Kaianuilalawalu
627,names,Kahuilaokalani
627,names,Kāneikaulana'ula
627,names,Kapō
640,names,Hitchcock
691,names,Hina
732,names,Kamehameha
732,names,Keōua-kuahu'ula
742,names,Hikauhi
758,names,Kamehameha
770,names,Kaiona
773,names,Kaumuali'i
793,names,Halo
793,names,Ki'ei
794,names,Kamapua'a
795,names,Lohi'au
796,names,Wā'awa'a Brothers
824,names,Olomana
825,names,Kaumaka
829,names,Palau
857,names,Hua'a
861,names,Ka'iliahū
861,names,Kī'ilau
875,names,Makakuikalani
875,names,Pupūkea
906,names,Keawe
906,names,Keku'iapoiwa Liliha
906,names,Keōpūolani
908,names,Kāne
909,names,Makoa
921,names,Pīpine
924,names,Pūhalahua
926,names,Ni'uloahiki
952,names,Kekuaokalani
952,names,Keōpūolani
979,names,'Umiamaka
982,names,Kāka'alaneo
982,names,Kaulula'au
982,names,Pāhulu
988,names,Nīholopua
992,names,Hanale
992,names,Ke'olohaka
994,names,Kumukaha
994,names,Makaha
999,names,Hanakahi
999,names,Palalo
999,names,Pūnana
1014,names,Ka'ahupāhau
1015,names,Kī'ilau
1030,names,Kōha'ikalani
1038,names,Makanikeoe
