phrase_number,category,tags
4,places,Kaunuohua
8,places,Ka'ula
14,places,"Kapakai, Hawai'i"
14,places,"Mo'okini, Hawai'i"
14,places,"'Upolu Point, Hawai'i"
16,places,"Puhili, Hawai'i"
18,places,"Māna, Kaua'i"
19,places,"Kakaniula, Maui"
21,places,"Ha'upukele, Moloka'i"
22,places,"Kamilo Beach, Hawai'i"
25,places,"Ki'ilau, O'ahu"
26,places,"Kiolaka'a, Hawai'i"
27,places,"Waikīkī, O'ahu"
28,places,"Kaiholena, Hawai'i"
36,places,Hi'ialo
36,places,Hi'ikua
37,places,"Alanaio, Hawai'i"
37,places,"Hilo, Hawai'i"
37,places,"Kapoho, Hawai'i"
37,places,"Laupāhoehoe, Hawai'i"
37,places,"Puna, Hawai'i"
37,places,"Uleki'i, Hawai'i"
41,places,Lehua
41,places,Ni'ihau
43,places,"Ka'alu'alu, Hawai'i"
44,places,"Kea'a, Hawai'i"
46,places,"Puehuehu, Hawai'i"
47,places,Koloa
48,places,"Honalo, Hawai'i"
50,places,'Ualaka'a
51,places,"Alanaio, Hawai'i"
51,places,"Pauki'i-nui, Hawai'i"
51,places,"Pa'ula, Hawai'i"
52,places,"Polihua, Lāna'i"
55,places,"Kona, Hawai'i"
56,places,Kahiki
58,places,Kahiki
61,places,Kahiki
78,places,Ko'olau
79,places,Kahiki
79,places,"Puna, Hawai'i"
80,places,"'Ewa, O'ahu"
86,places,Kahiki
88,places,Haleakalā
88,places,"Honua'ula, Maui"
88,places,"Kahikinui, Maui"
88,places,"Kula, Maui"
88,places,"Palauea, Maui"
91,places,"Hilo, Hawai'i"
95,places,"Kaumaika'ohu, Hawai'i"
96,places,Haleakalā
98,places,Kea'au
101,places,"Mānoa, O'ahu"
101,places,"Nu'uanu, O'ahu"
105,places,"Pu'uloa, O'ahu"
110,places,Kahewahewa
110,places,"Waikīkī, O'ahu"
112,places,"Kaunalewa, Kaua'i"
114,places,"Kama'ole, Maui"
115,places,Hakalau
118,places,Kealahula
118,places,Puahinahina
121,places,Hale'au'au
121,places,"Waialua, O'ahu"
123,places,"'Ewa, O'ahu"
127,places,"Halaaniani, Hawai'i"
127,places,"Kamilo Beach, Hawai'i"
127,places,"Puna, Hawai'i"
132,places,"Niu-a-Kāne, Maui"
144,places,Kahiki
146,places,Hakalau'ai
146,places,Keolewa
148,places,"Uwekahuna, Hawai'i"
149,places,Kahalahala
149,places,Kolokini
161,places,Māna
171,places,Punahoa
179,places,"Ho'okii, Hawai'i"
184,places,"Kapukaki, O'ahu"
195,places,Punalu'u Stream
211,places,"Honomaka'u, Hawai'i"
211,places,Kapua
211,places,"Kōhala, Hawai'i"
215,places,"Olowalu, Maui"
228,places,"Hauiki, Hawai'i"
232,places,"Kona, Hawai'i"
233,places,"Lele'apiki, Hawai'i"
233,places,"Nānāwale, Hawai'i"
233,places,"Puna, Hawai'i"
234,places,"Maunauna, O'ahu"
248,places,"Hakipu'u, O'ahu"
250,places,"Ka'u, Hawai'i"
250,places,"Keaiwa, Hawai'i"
255,places,"Ko'olihilihi, Hawai'i"
260,places,"Ka'u, Hawai'i"
260,places,"Puna, Hawai'i"
261,places,"Honokāneiki, Hawai'i"
261,places,"Kaka'auki, Hawai'i"
269,places,"Kona, O'ahu"
274,places,"Pu'uloa, O'ahu"
285,places,"Mānoa, O'ahu"
285,places,"Waikīkī, O'ahu"
288,places,"Pu'uwa'awa'a, Hawai'i"
298,places,Makawao
301,places,"Malelewa'a, Kaua'i"
306,places,Kahiki
318,places,Lāna'i
324,places,"Kuhiau, Kaua'i"
330,places,"Hilo, Hawai'i"
339,places,"'Aina'ike, Kaua'i"
341,places,Waiohinu
343,places,Ualoa
352,places,"Mokaulele, Hawai'i"
354,places,Ka'ula
354,places,Ni'ihau
357,places,Maui
360,places,"Puna, Hawai'i"
363,places,"Helumoa, O'ahu"
363,places,"Wai'anae, O'ahu"
363,places,"Waikīkī, O'ahu"
368,places,Kaho'olawe
368,places,Lāna'i
385,places,"'Ewa, O'ahu"
386,places,"'Ewa, O'ahu"
391,places,Kemamo
397,places,"Puna, Hawai'i"
400,places,"Pu'u'ula, Hawai'i"
404,places,"Halulu Lake, Kaua'i"
404,places,"Hanalei, Kaua'i"
404,places,Wai'ale'ale
407,places,Kou
411,places,Ka'ula
411,places,Ni'ihau
417,places,Pi'ilani
419,places,Kalalau
424,places,"Hilo, Hawai'i"
430,places,"Lāhaina, Maui"
432,places,"Halawa, Moloka'i"
433,places,Halemano
436,places,"Hilo, Hawai'i"
438,places,"Hāmākua, Hawai'i"
439,places,"Hāmākua, Hawai'i"
440,places,"Hāmākua, Hawai'i"
441,places,"Hāmākua, Hawai'i"
444,places,"Puna, Hawai'i"
448,places,"Hilo, Hawai'i"
451,places,"Hana, Maui"
460,places,"Hana, Maui"
460,places,"Kaupō, Maui"
460,places,"Ko'olau, Maui"
462,places,"Hilo, Hawai'i"
463,places,"Hanakahi, Hawai'i"
463,places,"Hilo, Hawai'i"
467,places,"Holoholokū, Kaua'i"
468,places,"Haneo'o, Maui"
470,places,"Wailau, Moloka'i"
471,places,"Paliuli, Hawai'i"
471,places,"Pana'ewa, Hawai'i"
473,places,"Mokuola, Hawai'i"
473,places,"Coconut Island, Hawai'i"
474,places,"Hopoe, Hawai'i"
479,places,"Līhu'e, O'ahu"
482,places,'Aina-ko
482,places,Malaekoa
490,places,Kalalau
490,places,Kauli'ili'i
490,places,Līlali'i
493,places,"'Ewa, O'ahu"
496,places,"Hā'upu, Kaua'i"
501,places,Hawai'i
502,places,"Hawai'i, Island of"
503,places,"Hawai'i, Island of"
503,places,Kailua
508,places,Konahuanui
548,places,"Hawai'i, Island of"
550,places,Ko'olau
559,places,Kapaukua
559,places,"Ka'u, Hawai'i"
561,places,'Ī-halau
561,places,"'Ī-ko'a, Hawai'i"
571,places,"Waipi'o, Hawai'i"
582,places,Alaka'i
583,places,La'auhaele
603,places,Kaho'olawe
623,places,"Pi'iholo, Maui"
624,places,"Kea'au, Hawai'i"
624,places,"Puna, Hawai'i"
625,places,"Kīpahulu, Maui"
627,places,"Maunaloa, Moloka'i"
627,places,"Paka'alana, Hawai'i"
634,places,"Kalae, Moloka'i"
652,places,"Ka'a'awa, O'ahu"
653,places,"Kahana, O'ahu"
654,places,"Leleiwi, Hawai'i"
655,places,"Kahaloa, O'ahu"
656,places,"Mamala, O'ahu"
657,places,Kalia
657,places,Ala Moana
659,places,"Pana'ewa, Hawai'i"
660,places,"Kapapa, O'ahu"
661,places,"'Ewa, O'ahu"
664,places,"Mānoa, O'ahu"
665,places,"Kalae, Moloka'i"
673,places,"'Ola'a, Hawai'i"
682,places,"Hanauma, Hawai'i"
682,places,"Ke'ei, Hawai'i"
686,places,"Pu'ukapeie, Kaua'i"
697,places,"'O'opuloa, Maui"
708,places,"Kuloli, Hawai'i"
714,places,"Ka'ala, O'ahu"
724,places,"Kaukini, Hawai'i"
728,places,Hāmākua
731,places,"Kōloa, Hawai'i"
732,places,Kawaihae
738,places,"Hopoe, Hawai'i"
742,places,"Kaunakakai, Moloka'i"
744,places,Kealia
746,places,"Nū'alolo, Kaua'i"
748,places,Hōkūko'a
755,places,"Halepua'a, Hawai'i"
757,places,"Waimea, Hawai'i"
758,places,"Kawainui Pond, O'ahu"
758,places,O'ahu
765,places,Mahamoku
767,places,Kalehuawehe
767,places,Kuaokala
768,places,"'Ewa, O'ahu"
768,places,"Kulaokahu'a, O'ahu"
768,places,"Nu'uanu, O'ahu"
768,places,O'ahu
770,places,Wai'anae Mountains
773,places,"Ka'u, Hawai'i"
777,places,"Kahuwa, Hawai'i"
777,places,"Waimea, Hawai'i"
794,places,"Kaliuwa'a, O'ahu"
797,places,"Kahuwa, Hawai'i"
821,places,"Ka'a'awa, O'ahu"
826,places,"Ka'u, Hawai'i"
826,places,"Puna, Hawai'i"
829,places,Hamohamo
838,places,"Puna, Kaua'i"
839,places,"Napo'opo'o, Hawai'i"
845,places,Kaualehu
866,places,"Kawainui Pond, O'ahu"
875,places,"Kōhala, Hawai'i"
902,places,"Kaholokuaiwa, Hawai'i"
906,places,"Hawai'i, Island of"
943,places,"'Ola'a, Hawai'i"
952,places,Kaho'olawe
982,places,Lāna'i
986,places,Māna
990,places,"Ha'eha'e, Hawai'i"
990,places,Kūki'i
994,places,"Ka'u, Hawai'i"
994,places,"Puna, Hawai'i"
995,places,"Ka'u, Hawai'i"
995,places,"Puna, Hawai'i"
997,places,"Hilo, Hawai'i"
998,places,"Hilo, Hawai'i"
999,places,"Hilo, Hawai'i"
1000,places,"Hilo, Hawai'i"
1001,places,"Hilo, Hawai'i"
1002,places,"Hilo, Hawai'i"
1003,places,"Hilo, Hawai'i"
1004,places,"Hāmākua, Hawai'i"
1004,places,"Hilo, Hawai'i"
1004,places,"Maulua, Hawai'i"
1004,places,"Mawae, Hawai'i"
1005,places,"Hilo, Hawai'i"
1006,places,"Hilo, Hawai'i"
1009,places,"Kapaliwai'ole, Hawai'i"
1014,places,"Pu'uloa, O'ahu"
1016,places,"Honolulu, O'ahu"
1016,places,"Nu'uanu, O'ahu"
1018,places,"Kaunalewa, Kaua'i"
1018,places,"Māna, Kaua'i"
1023,places,"Pu'uloa, O'ahu"
1028,places,"Waimea, Kaua'i"
1029,places,"Ao, Maui"
1029,places,"'Ī-ao, Maui"
1030,places,"Hilea, Hawai'i"
1030,places,"Punalu'u, Hawai'i"
1032,places,"Kalia, O'ahu"
1033,places,"Waolani, O'ahu"
