phrase_number,category,tags
27,plants,ʻAhuʻawa
49,plants,ʻUhaloa
49,plants,ʻAlaʻalapuloa
50,plants,ʻUala
50,plants,Sweet potato
52,plants,Manewanewa
81,plants,Kō
81,plants,Sugar cane
82,plants,ʻApe
83,plants,Kalo
83,plants,Taro
112,plants,Niu
112,plants,Coconut
118,plants,Limu
118,plants,Seaweed
127,plants,Hala
127,plants,Pandanus
137,plants,Hala
137,plants,Pandanus
143,plants,Maiʻa
143,plants,Banana
154,plants,Coffee
155,plants,Ipu
210,plants,Hilo grass
213,plants,ʻUlu
213,plants,Breadfruit
214,plants,Hōʻi
227,plants,Māmane
227,plants,ʻUlei
246,plants,ʻAwa
247,plants,Ginger
248,plants,Kī
248,plants,Ti
250,plants,Kalo
250,plants,Taro
255,plants,Lehua
255,plants,Makaloa
257,plants,Lauhue
263,plants,Kalo
263,plants,Taro
275,plants,ʻAwa
298,plants,Koʻaiʻe
302,plants,Wauke
312,plants,ʻIeʻie
313,plants,Pōhuehue
316,plants,Kalo
316,plants,Taro
329,plants,ʻUala
329,plants,ʻUlu
329,plants,Kalo
329,plants,Sweet potato
329,plants,Taro
329,plants,Breadfruit
340,plants,Kalo
340,plants,Taro
352,plants,Lehua
361,plants,Kikawaiʻo
365,plants,Koa
370,plants,Kī
370,plants,Ti
397,plants,Koa
408,plants,Māmane
429,plants,Kalo
429,plants,Taro
430,plants,ʻUlu
430,plants,Breadfruit
503,plants,Kī
503,plants,Ti
507,plants,ʻAʻaliʻi
519,plants,Uhi
519,plants,Kalo
519,plants,Taro
519,plants,Yam
547,plants,ʻAuhuhu
559,plants,Pili
560,plants,Niu
560,plants,Coconut
568,plants,Hāpuʻu
579,plants,ʻAʻaliʻi
616,plants,ʻAuhuhu
623,plants,ʻAʻaliʻi
624,plants,Hala
624,plants,Pandanus
627,plants,Nīoi
627,plants,ʻOhe
627,plants,Kauila
643,plants,ʻOhai
659,plants,Lehua
663,plants,Kakalaioa
666,plants,Kalo
666,plants,Taro
668,plants,Pōpolo
671,plants,Kalo
671,plants,Taro
698,plants,Koʻaiʻe
703,plants,Kōwali
703,plants,Morning glory
708,plants,Wauke
713,plants,Lehua
714,plants,Lehua
720,plants,Hala
720,plants,Pandanus
722,plants,Kō
722,plants,Sugar cane
723,plants,Maiʻa
723,plants,Banana
734,plants,Lehua
738,plants,Lehua
755,plants,ʻUlu
755,plants,Breadfruit
765,plants,Lehua
779,plants,Maiʻa
779,plants,Banana
780,plants,Maiʻa
780,plants,Banana
781,plants,Maiʻa
781,plants,Banana
805,plants,Lehua
814,plants,Kalo
814,plants,Taro
818,plants,Milo
822,plants,ʻUhaloa
845,plants,Noni
850,plants,Kalo
850,plants,Taro
875,plants,Kō
875,plants,Sugar cane
887,plants,Kō
887,plants,Sugar cane
889,plants,Makaloa
892,plants,Kalo
892,plants,Taro
923,plants,Hala
923,plants,Pandanus
926,plants,Niu
926,plants,Coconut
935,plants,Maiʻa
935,plants,Banana
946,plants,ʻUala
946,plants,Sweet potato
956,plants,ʻUlei
