phrase_number,category,tags
1,general,House
1,general,"Labor/work, avoidance of"
1,general,Labor/work
1,general,Laziness
1,general,Mat
10,general,"Poi, mixing of"
10,general,Poi
1,general,Odor (see also fragrance)
1,general,Kama'ole
10,general,"Drunkenness, sleeping it off"
10,general,Drunkenness
10,general,"Face, of ali'i/chief"
10,general,Face
10,general,Flowers
10,general,"Gods, approval of"
10,general,Gods
1,general,"Family, symbol of"
1,general,Family
1,general,"Fish, plentiful"
1,general,Fish
1,general,"Food, unable to grow"
1,general,"Food, under-cooked"
1,general,Food
1,general,Goat
1,general,"Goddess, dreaded, sharp-lipped"
1,general,"Goddess, dreaded"
2,general,"Goddess, dreaded, sharp-lipped"
2,general,"Goddess, dreaded"
2,general,"Gods, presence of"
2,general,Gods
530,general,"Strength, boast of"
0,general,Strength
0,general,Success
0,general,"Sun, gateway of"
0,general,Sun
1,general,"Stone, balancing of"
1,general,"Stone, balancing"
1,general,"Success, praise of"
1,general,Success
1,general,"Trouble, j"
1,general,Trouble
1,general,"Warfare, j"
1,general,"Warfare (see also battle, fighting, warrior)"
1,general,"Warrior, j"
1,general,Warrior
1,general,"Weakness, in a"
1,general,Weakness
0,general,Battle of Ka'uwa'upali}
1,general,"Assistance, from gods"
1,general,Assistance
1,general,Bedding
1,general,"Chief/Ali'i, owns a"
1,general,Chief/Ali'i
1,general,"Chiefs, ancestors of"
1,general,"Children, born in month"
1,general,Children
1,general,Kaka'e
3,general,"Assistance, from gods"
3,general,Assistance
3,general,Attraction (see also beauty)
3,general,"Beauty, personal"
3,general,"Birds, feeding of"
3,general,Birds
