on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
1,ʻAʻahu ʻili kao.,Wearer of goat hide.,"An expression of contempt for a person who is so lazy he uses goat hides instead of mats, which require work to make, for his bedding. Such a person is recognized by his goaty odor.",haw-a.htm#aahu,ON-conc-a-full.htm
2,"ʻAʻa i ka hula, waiho ka hilahila i ka hale.","When one wants to dance the hula, bashfulness should be left at home.","Also expressed Aʻo i ka hula,....",haw-a.htm#aa,ON-conc-a-full.htm
3,A ʻai ka manu i luna.,The birds feed above.,An attractive person is compared to a flower-laden tree that attracts birds.,haw-a.htm#a,ON-conc-a-full.htm
4,"A aloha wale ʻia kā hoʻi o Kaunuohua, he puʻu wale nō.","Even Kaunuohua, a hill, is loved.","If a hill can be loved, how much more so a human?",haw-a.htm#a,ON-conc-a-full.htm
5,Aʻeaʻe mōhala i luna o ke kukui.,Whiteness unfolds on the kukui trees.,"Used in reference to a person who grays, comparing him to a blooming kukui tree laden with white flowers.",haw-a.htm#aeae,ON-conc-a-full.htm
6,ʻĀhaʻi akula i ka welowelo.,Took off into the breeze.,"Rose in triumph, as a kite rises into the sky; hastened away with great speed.",haw-a.htm#ahai,ON-conc-a-full.htm
7,ʻĀhaʻi lā i ka pupuhi.,Away like a gust [of wind].,Travel with the speed of wind.,haw-a.htm#ahai,ON-conc-a-full.htm
8,"Ahē nō ka manu o Kaʻula, he lā ʻino.","When the birds of Kaʻula appear wild, it denotes a stormy day.",Signs of trouble keep people away.,haw-a.htm#ahe,ON-conc-a-full.htm
9,"A hewa no he hale kanaka, ʻaʻohe hewa o ka hale kanaka ʻole.",Fault can he found in an inhabited house and none in an uninhabited one.,Mistakes and weakness are always found in humanity.,haw-a.htm#a,ON-conc-a-full.htm
10,"A hīkapalalē, hinolue o walawala ki pohā!",This is what the Hawaiians thought the first white men to visit the islands said.,It is untranslatable gibberish repeated with laughter when one is told something utterly incomprehensible.,haw-a.htm#a,ON-conc-a-full.htm
11,"A hua a pane; a pane ka waha, he hoʻolono ko neʻi.","A word in reply; open the mouth and speak, for a listener is here.",A command to speak up and tell what one has come for. Used in hoʻopāpā riddling.,haw-a.htm#a,ON-conc-a-full.htm
12,Ahu a lālā kukui.,The kukui branches lay about in heaps.,Strewn about in every direction. An expression that refers to an untidy place or the strewing of dead bodies after a battle.,haw-a.htm#a,ON-conc-a-full.htm
